Pre-alert DateTime UTC,Post-alert DateTime UTC,Alert Duration (seconds),Detected Object Type,Object Location X1 (px),Object Location Y1 (px),Object Location X2 (px),Object Location Y2 (px),Hazard Time Since Start (seconds),Alert Type,Center Area Top-Left X (px),Center Area Top-Left Y (px),Center Area Bottom-Right X (px),Center Area Bottom-Right Y (px)
1714598095.2299848,1714598098.2404974,3.010512590408325,frisbee,981,54,1235,315,11.789266586303711,Nearness,427,320,853,640
1714598098.389041,1714598101.4014518,3.012410879135132,frisbee,981,54,1235,315,14.950221061706543,Nearness,427,320,853,640
1714598101.6021824,1714598104.6177902,3.0156078338623047,frisbee,970,52,1232,308,18.16655945777893,Nearness,427,320,853,640
1714598104.7953339,1714598107.8088322,3.013498306274414,frisbee,970,52,1232,308,21.357601404190063,Nearness,427,320,853,640
1714598107.9589474,1714598110.9669263,3.007978916168213,frisbee,956,48,1212,304,24.515695571899414,Nearness,427,320,853,640
1714598111.144362,1714598114.1531022,3.008740186691284,frisbee,956,48,1212,304,27.701871395111084,Nearness,427,320,853,640
1714598114.3951993,1714598117.408641,3.013441801071167,frisbee,940,48,1201,303,30.95741033554077,Nearness,427,320,853,640
1714598117.6136508,1714598120.6199887,3.006337881088257,frisbee,941,48,1200,303,34.168757915496826,Nearness,427,320,853,640
1714598120.809073,1714598123.8252392,3.0161662101745605,frisbee,924,51,1185,308,37.37400841712952,Nearness,427,320,853,640
1714598123.8272507,1714598126.832673,3.005422353744507,sports ball,925,49,1183,309,40.3814423084259,Nearness,427,320,853,640
1714598127.040432,1714598130.052613,3.012181043624878,frisbee,924,51,1185,308,43.6013822555542,Nearness,427,320,853,640
1714598130.0546317,1714598133.0618243,3.007192611694336,sports ball,925,50,1183,309,46.61059355735779,Nearness,427,320,853,640
1714598133.640317,1714598136.6420648,3.0017478466033936,frisbee,877,80,1145,354,50.190834045410156,Nearness,427,320,853,640
1714598136.6453493,1714598139.651929,3.006579637527466,sports ball,878,84,1143,355,53.200698137283325,Nearness,427,320,853,640
1714598139.87034,1714598142.8837502,3.0134100914001465,frisbee,878,81,1144,355,56.43251943588257,Nearness,427,320,853,640
1714598142.8852053,1714598145.8932984,3.0080931186676025,sports ball,878,84,1143,355,59.44206762313843,Nearness,427,320,853,640
1714598146.0816624,1714598149.0938933,3.01223087310791,frisbee,861,106,1128,385,62.642662525177,Nearness,427,320,853,640
1714598149.2795827,1714598152.2933297,3.013746976852417,frisbee,861,106,1128,385,65.84209895133972,Nearness,427,320,853,640
1714598152.4923794,1714598155.4936802,3.001300811767578,frisbee,845,132,1112,416,69.04244947433472,center,427,320,853,640
1714598155.4936802,1714598158.4978108,3.0041306018829346,sports ball,846,131,1113,416,72.04658007621765,center,427,320,853,640
1714598158.676157,1714598161.6782925,3.0021355152130127,frisbee,846,132,1113,416,75.22706174850464,center,427,320,853,640
1714598161.6803164,1714598164.6853,3.00498366355896,sports ball,846,131,1113,416,78.23406934738159,center,427,320,853,640
1714664027.4292827,1714664027.4292827,0.0,frisbee,981,54,1235,315,11.033994913101196,Nearness,427,320,853,640
1714664027.5202854,1714664027.5202854,0.0,frisbee,981,54,1235,315,11.124997615814209,Nearness,427,320,853,640
1714664027.6092823,1714664027.6092823,0.0,frisbee,970,52,1232,308,11.21399450302124,Nearness,427,320,853,640
1714664027.7034373,1714664027.7034373,0.0,frisbee,970,52,1232,308,11.308149576187134,Nearness,427,320,853,640
1714664027.796437,1714664027.796437,0.0,frisbee,956,48,1212,304,11.401149272918701,Nearness,427,320,853,640
1714664027.8895552,1714664027.8895552,0.0,frisbee,956,48,1212,304,11.494267463684082,Nearness,427,320,853,640
1714664028.0115137,1714664028.0115137,0.0,frisbee,940,48,1201,303,11.616225957870483,Nearness,427,320,853,640
1714664028.1060622,1714664028.1060622,0.0,frisbee,941,48,1200,303,11.710774421691895,Nearness,427,320,853,640
1714664028.1993566,1714664028.1993566,0.0,frisbee,924,51,1185,308,11.804068803787231,Nearness,427,320,853,640
1714664028.2013586,1714664028.2013586,0.0,sports ball,925,49,1183,309,11.806070804595947,Nearness,427,320,853,640
1714664028.2928011,1714664028.2928011,0.0,frisbee,924,51,1185,308,11.897513389587402,Nearness,427,320,853,640
1714664028.2951782,1714664028.2951782,0.0,sports ball,925,50,1183,309,11.899890422821045,Nearness,427,320,853,640
1714664028.7246826,1714664028.7246826,0.0,frisbee,877,80,1145,354,12.329394817352295,Nearness,427,320,853,640
