Pre-alert DateTime UTC,Post-alert DateTime UTC,Alert Duration (seconds),Detected Object Type,Object Location X (px),Object Location Y (px),Predicted Future Location X (px),Predicted Future Location Y (px),Hazard Time Since Start (seconds),Alert Type,Center Area Top-Left X (px),Center Area Top-Left Y (px),Center Area Bottom-Right X (px),Center Area Bottom-Right Y (px)
1714568163.5165484,1714568164.5239599,1.0074114799499512,frisbee,1143,225,1142,221,6.080233812332153,Nearness,480,360,800,600
1714568164.6068294,1714568165.6119926,1.0051631927490234,frisbee,1143,225,1143,225,7.168266534805298,Nearness,480,360,800,600
1714568165.7253118,1714568166.7352138,1.009902000427246,frisbee,1141,223,1139,221,8.291487693786621,Nearness,480,360,800,600
1714568208.5551937,1714568208.5551937,0.0,frisbee,1143,225,1142,221,5.043851613998413,Nearness,480,360,800,600
1714568208.6335385,1714568208.6335385,0.0,frisbee,1143,225,1143,225,5.122196435928345,Nearness,480,360,800,600
1714568208.717788,1714568208.717788,0.0,frisbee,1141,223,1139,221,5.206445932388306,Nearness,480,360,800,600
1714568208.7935882,1714568208.7935882,0.0,frisbee,1141,223,1141,223,5.282246112823486,Nearness,480,360,800,600
1714568208.874861,1714568208.874861,0.0,frisbee,1140,220,1139,217,5.363518953323364,Nearness,480,360,800,600
1714568208.9541466,1714568208.9541466,0.0,frisbee,1140,220,1140,220,5.442804574966431,Nearness,480,360,800,600
1714568209.033591,1714568209.033591,0.0,frisbee,1140,216,1140,212,5.522248983383179,Nearness,480,360,800,600
1714568209.1117766,1714568209.1117766,0.0,frisbee,1140,216,1140,216,5.6004345417022705,Nearness,480,360,800,600
1714568209.1839159,1714568209.1839159,0.0,frisbee,1139,212,1138,208,5.672573804855347,Nearness,480,360,800,600
1714568209.2613952,1714568209.2613952,0.0,frisbee,1139,212,1139,212,5.75005316734314,Nearness,480,360,800,600
1714568209.3343887,1714568209.3343887,0.0,frisbee,1136,208,1133,204,5.823046684265137,Nearness,480,360,800,600
1714568209.412759,1714568209.412759,0.0,frisbee,1136,208,1136,208,5.901417016983032,Nearness,480,360,800,600
1714568209.4917784,1714568209.4917784,0.0,frisbee,1131,200,1126,192,5.980436325073242,Nearness,480,360,800,600
1714568209.5684886,1714568209.5684886,0.0,frisbee,1130,200,1129,200,6.0571465492248535,Nearness,480,360,800,600
1714568209.6542761,1714568209.6542761,0.0,frisbee,1128,193,1126,186,6.142934083938599,Nearness,480,360,800,600
1714568209.7295008,1714568209.7295008,0.0,frisbee,1128,193,1128,193,6.218158721923828,Nearness,480,360,800,600
1714568209.806433,1714568209.806433,0.0,frisbee,1120,188,1112,183,6.295090913772583,Nearness,480,360,800,600
1714568209.8864353,1714568209.8864353,0.0,frisbee,1120,188,1120,188,6.375093221664429,Nearness,480,360,800,600
1714568210.7355428,1714568210.7355428,0.0,frisbee,1042,187,1030,195,7.22420072555542,Nearness,480,360,800,600
1714568210.813343,1714568210.813343,0.0,frisbee,1042,188,1042,189,7.302000999450684,Nearness,480,360,800,600
1714568210.891932,1714568210.891932,0.0,frisbee,1029,197,1016,206,7.380589962005615,Nearness,480,360,800,600
1714568210.9689271,1714568210.9689271,0.0,frisbee,1028,197,1027,197,7.457585096359253,Nearness,480,360,800,600
1714568211.0459275,1714568211.0459275,0.0,frisbee,1011,217,994,237,7.534585475921631,Nearness,480,360,800,600
1714568211.0469272,1714568211.0469272,0.0,sports ball,1010,219,966,259,7.535585165023804,Nearness,480,360,800,600
1714568211.119457,1714568211.119457,0.0,frisbee,1011,218,1011,219,7.608114957809448,Nearness,480,360,800,600
1714568211.1204562,1714568211.1204562,0.0,sports ball,1010,219,1010,219,7.609114170074463,Nearness,480,360,800,600
1714568211.5076196,1714568211.5076196,0.0,sports ball,962,308,945,343,7.996277570724487,Nearness,480,360,800,600
1714568211.5086231,1714568211.5086231,0.0,frisbee,963,308,947,342,7.997281074523926,Nearness,480,360,800,600
1714568211.578971,1714568211.578971,0.0,sports ball,961,308,960,308,8.067628860473633,Nearness,480,360,800,600
1714568211.5799713,1714568211.5799713,0.0,frisbee,963,308,963,308,8.068629264831543,Nearness,480,360,800,600
1714568211.6639707,1714568211.6639707,0.0,sports ball,945,349,929,390,8.152628660202026,Nearness,480,360,800,600
1714568211.740996,1714568211.740996,0.0,sports ball,945,349,945,349,8.22965383529663,Nearness,480,360,800,600
1714568212.4608197,1714568212.4608197,0.0,sports ball,861,584,777,819,8.949477672576904,center,480,360,800,600
1714568212.5411696,1714568212.5411696,0.0,sports ball,861,584,861,584,9.02982759475708,center,480,360,800,600
1714568212.7556992,1714568212.7556992,0.0,sports ball,834,687,807,790,9.244357109069824,center,480,360,800,600
1714568212.828686,1714568212.828686,0.0,sports ball,834,688,834,689,9.317343950271606,center,480,360,800,600
1714568213.0554817,1714568213.0554817,0.0,sports ball,816,577,798,466,9.544139623641968,center,480,360,800,600
1714568213.1332142,1714568213.1332142,0.0,sports ball,816,577,816,577,9.621872186660767,center,480,360,800,600
1714568213.2082186,1714568213.2082186,0.0,sports ball,804,527,792,477,9.696876525878906,center,480,360,800,600
1714568213.2862172,1714568213.2862172,0.0,sports ball,804,526,804,525,9.774875164031982,center,480,360,800,600
1714568213.353093,1714568213.353093,0.0,sports ball,795,483,786,440,9.841750860214233,center,480,360,800,600
1714568213.4300892,1714568213.4300892,0.0,sports ball,795,483,795,483,9.918747186660767,center,480,360,800,600
1714568213.509089,1714568213.509089,0.0,sports ball,784,447,773,411,9.99774694442749,center,480,360,800,600
1714568213.587089,1714568213.587089,0.0,sports ball,784,447,784,447,10.075747013092041,center,480,360,800,600
1714568214.260868,1714568214.260868,0.0,frisbee,731,319,499,330,10.749526023864746,center,480,360,800,600
1714568214.3400102,1714568214.3400102,0.0,frisbee,731,319,731,319,10.828668117523193,center,480,360,800,600
1714568214.4200149,1714568214.4200149,0.0,frisbee,719,305,707,291,10.90867280960083,center,480,360,800,600
1714568214.499244,1714568214.499244,0.0,frisbee,719,305,719,305,10.98790192604065,center,480,360,800,600
1714568214.5706732,1714568214.5706732,0.0,frisbee,708,297,697,289,11.059331178665161,center,480,360,800,600
1714568214.6524463,1714568214.6524463,0.0,frisbee,708,297,708,297,11.141104221343994,center,480,360,800,600
1714568214.721446,1714568214.721446,0.0,frisbee,698,294,688,291,11.210103988647461,center,480,360,800,600
1714568214.8013194,1714568214.8013194,0.0,frisbee,698,294,698,294,11.289977312088013,center,480,360,800,600
1714568214.880314,1714568214.880314,0.0,frisbee,685,296,672,298,11.368972063064575,center,480,360,800,600
1714568214.9603145,1714568214.9603145,0.0,frisbee,685,297,685,298,11.448972463607788,center,480,360,800,600
1714568215.0408285,1714568215.0408285,0.0,frisbee,672,302,659,307,11.529486417770386,center,480,360,800,600
1714568215.1092947,1714568215.1092947,0.0,frisbee,672,302,672,302,11.597952604293823,center,480,360,800,600
1714568215.1885545,1714568215.1885545,0.0,frisbee,662,313,652,324,11.677212476730347,center,480,360,800,600
1714568215.2672193,1714568215.2672193,0.0,frisbee,662,313,662,313,11.755877256393433,center,480,360,800,600
1714568215.9006538,1714568215.9006538,0.0,toilet,619,399,619,399,12.389311790466309,center,480,360,800,600
1714568216.1503766,1714568216.1503766,0.0,toilet,595,466,571,533,12.639034509658813,center,480,360,800,600
1714568216.2263775,1714568216.2263775,0.0,toilet,595,466,595,466,12.715035438537598,center,480,360,800,600
1714568216.3089151,1714568216.3089151,0.0,sports ball,585,512,386,577,12.79757308959961,center,480,360,800,600
1714568216.3879156,1714568216.3879156,0.0,sports ball,585,512,585,512,12.87657356262207,center,480,360,800,600
1714568216.4615257,1714568216.4615257,0.0,sports ball,575,557,565,602,12.950183629989624,center,480,360,800,600
1714568216.539526,1714568216.539526,0.0,sports ball,575,556,575,555,13.028183937072754,center,480,360,800,600
1714568216.6264517,1714568216.6264517,0.0,toilet,566,604,537,742,13.11510968208313,center,480,360,800,600
1714568216.7153866,1714568216.7153866,0.0,toilet,566,604,566,604,13.204044580459595,center,480,360,800,600
1714568444.1653264,1714568444.1653264,0.0,frisbee,1143,225,1142,221,5.478972673416138,Nearness,480,360,800,600
1714568444.2561796,1714568444.2561796,0.0,frisbee,1143,225,1143,225,5.569825887680054,Nearness,480,360,800,600
1714568444.3451614,1714568444.3451614,0.0,frisbee,1141,223,1139,221,5.658807754516602,Nearness,480,360,800,600
1714568444.4352129,1714568444.4352129,0.0,frisbee,1141,223,1141,223,5.748859167098999,Nearness,480,360,800,600
1714568444.527983,1714568444.527983,0.0,frisbee,1140,220,1139,217,5.841629266738892,Nearness,480,360,800,600
1714568444.6203768,1714568444.6203768,0.0,frisbee,1140,220,1140,220,5.934023141860962,Nearness,480,360,800,600
1714568444.7060127,1714568444.7060127,0.0,frisbee,1140,216,1140,212,6.019659042358398,Nearness,480,360,800,600
1714568444.7865372,1714568444.7865372,0.0,frisbee,1140,216,1140,216,6.100183486938477,Nearness,480,360,800,600
